openalex_id,display_name,normalized_name,include,level,wikidata_id,parent_display_names
https://openalex.org/c149782125,Econometrics,econometrics,N,1,https://www.wikidata.org/wiki/Q160039,"Economics, Mathematics"
https://openalex.org/c159985019,Composite material,composite material,N,1,https://www.wikidata.org/wiki/Q181790,Materials science
https://openalex.org/c549774020,Welfare economics,welfare economics,N,1,https://www.wikidata.org/wiki/Q851147,Economics
https://openalex.org/c16685009,Andrology,andrology,N,1,https://www.wikidata.org/wiki/Q335057,Medicine
https://openalex.org/c28490314,Speech recognition,speech recognition,N,1,https://www.wikidata.org/wiki/Q189436,Computer science
https://openalex.org/c37621935,Agricultural science,agricultural science,Y,1,https://www.wikidata.org/wiki/Q3606845,"Biology, Environmental science"
https://openalex.org/c42475967,Operations research,operations research,Y,1,https://www.wikidata.org/wiki/Q194292,"Engineering, Mathematics"
https://openalex.org/c53553401,Genealogy,genealogy,N,1,https://www.wikidata.org/wiki/Q47307,History
https://openalex.org/c90924648,Gastroenterology,gastroenterology,N,1,https://www.wikidata.org/wiki/Q120569,Medicine
https://openalex.org/c121955636,Accounting,accounting,N,1,https://www.wikidata.org/wiki/Q4116214,"Business, Economics"
https://openalex.org/c124952713,Literature,literature,N,1,https://www.wikidata.org/wiki/Q8242,Art
https://openalex.org/c171250308,Nanotechnology,nanotechnology,N,1,https://www.wikidata.org/wiki/Q11468,Materials science
https://openalex.org/c199104240,Marine engineering,marine engineering,N,1,https://www.wikidata.org/wiki/Q118291,Engineering
https://openalex.org/c200601418,Reliability engineering,reliability engineering,N,1,https://www.wikidata.org/wiki/Q2193887,Engineering
https://openalex.org/c37914503,Mathematical physics,mathematical physics,N,1,https://www.wikidata.org/wiki/Q156495,"Mathematics, Physics"
https://openalex.org/c71240020,Stereochemistry,stereochemistry,N,1,https://www.wikidata.org/wiki/Q186011,Chemistry
https://openalex.org/c74650414,Classical mechanics,classical mechanics,N,1,https://www.wikidata.org/wiki/Q11397,Physics
https://openalex.org/c113775141,Computer engineering,computer engineering,N,1,https://www.wikidata.org/wiki/Q428691,"Computer science, Engineering"
https://openalex.org/c199360897,Programming language,programming language,N,1,https://www.wikidata.org/wiki/Q9143,Computer science
https://openalex.org/c3116431,Public administration,public administration,N,1,https://www.wikidata.org/wiki/Q31728,Political science
https://openalex.org/c42972112,Veterinary medicine,veterinary medicine,N,1,https://www.wikidata.org/wiki/Q170201,Medicine
https://openalex.org/c44870925,Astrophysics,astrophysics,N,1,https://www.wikidata.org/wiki/Q37547,Physics
https://openalex.org/c89423630,Microbiology,microbiology,N,1,https://www.wikidata.org/wiki/Q7193,Biology
https://openalex.org/c100001284,Public economics,public economics,N,1,https://www.wikidata.org/wiki/Q2248246,Economics
https://openalex.org/c107457646,Human–computer interaction,human computer interaction,N,1,https://www.wikidata.org/wiki/Q207434,Computer science
https://openalex.org/c155647269,Medicinal chemistry,medicinal chemistry,N,1,https://www.wikidata.org/wiki/Q243455,Chemistry
https://openalex.org/c191897082,Metallurgy,metallurgy,N,1,https://www.wikidata.org/wiki/Q11467,Materials science
https://openalex.org/c509550671,Medical education,medical education,N,1,https://www.wikidata.org/wiki/Q126945,Medicine
https://openalex.org/c19527891,Medical physics,medical physics,N,1,https://www.wikidata.org/wiki/Q1120908,"Medicine, Physics"
https://openalex.org/c31258907,Computer network,computer network,N,1,https://www.wikidata.org/wiki/Q1301371,Computer science
https://openalex.org/c34447519,Market economy,market economy,N,1,https://www.wikidata.org/wiki/Q179522,Economics
https://openalex.org/c39549134,Public relations,public relations,N,1,https://www.wikidata.org/wiki/Q133080,Political science
https://openalex.org/c42407357,Physiology,physiology,N,1,https://www.wikidata.org/wiki/Q521,"Biology, Medicine"
https://openalex.org/c55587333,Engineering ethics,engineering ethics,N,1,https://www.wikidata.org/wiki/Q1133029,Engineering
https://openalex.org/c78762247,Petroleum engineering,petroleum engineering,N,1,https://www.wikidata.org/wiki/Q1273174,"Engineering, Geology"
https://openalex.org/c118084267,Positive economics,positive economics,N,1,https://www.wikidata.org/wiki/Q26110,Economics
https://openalex.org/c141071460,Surgery,surgery,N,1,https://www.wikidata.org/wiki/Q40821,Medicine
https://openalex.org/c149923435,Demography,demography,N,1,https://www.wikidata.org/wiki/Q37732,Sociology
https://openalex.org/c178802073,Aeronautics,aeronautics,N,1,https://www.wikidata.org/wiki/Q8421,Engineering
https://openalex.org/c199343813,Dentistry,dentistry,N,1,https://www.wikidata.org/wiki/Q12128,Medicine
https://openalex.org/c119857082,Machine learning,machine learning,Y,1,https://www.wikidata.org/wiki/Q2539,Computer science
https://openalex.org/c42360764,Chemical engineering,chemical engineering,N,1,https://www.wikidata.org/wiki/Q83588,Engineering
